step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
34,transparent,TURKEY,FRANCE,1,4,6
34,transparent,ENGLAND,GERMANY,0,3,10
34,transparent,FRANCE,GERMANY,0,6,10
34,transparent,GERMANY,GERMANY,1,10,10
34,transparent,ITALY,GERMANY,1,7,10
34,transparent,RUSSIA,GERMANY,1,4,10
34,transparent,TURKEY,GERMANY,0,4,10
34,transparent,ENGLAND,ITALY,1,3,7
34,transparent,FRANCE,ITALY,1,6,7
34,transparent,GERMANY,ITALY,1,10,7
34,transparent,ITALY,ITALY,1,7,7
34,transparent,RUSSIA,ITALY,0,4,7
34,transparent,TURKEY,ITALY,0,4,7
34,transparent,ENGLAND,RUSSIA,1,3,4
34,transparent,FRANCE,RUSSIA,1,6,4
34,transparent,GERMANY,RUSSIA,0,10,4
34,transparent,ITALY,RUSSIA,0,7,4
34,transparent,RUSSIA,RUSSIA,1,4,4
34,transparent,TURKEY,RUSSIA,0,4,4
34,transparent,ENGLAND,TURKEY,1,3,4
34,transparent,FRANCE,TURKEY,1,6,4
34,transparent,GERMANY,TURKEY,0,10,4
34,transparent,ITALY,TURKEY,0,7,4
34,transparent,RUSSIA,TURKEY,0,4,4
34,transparent,TURKEY,TURKEY,1,4,4
37,transparent,ENGLAND,ENGLAND,1,1,1
37,transparent,FRANCE,ENGLAND,0,5,1
37,transparent,GERMANY,ENGLAND,0,13,1
37,transparent,ITALY,ENGLAND,1,9,1
37,transparent,RUSSIA,ENGLAND,1,4,1
37,transparent,TURKEY,ENGLAND,1,2,1
37,transparent,ENGLAND,FRANCE,0,1,5
37,transparent,FRANCE,FRANCE,1,5,5
37,transparent,GERMANY,FRANCE,0,13,5
37,transparent,ITALY,FRANCE,1,9,5
37,transparent,RUSSIA,FRANCE,1,4,5
37,transparent,TURKEY,FRANCE,1,2,5
37,transparent,ENGLAND,GERMANY,0,1,13
37,transparent,FRANCE,GERMANY,0,5,13
37,transparent,GERMANY,GERMANY,1,13,13
37,transparent,ITALY,GERMANY,1,9,13
37,transparent,RUSSIA,GERMANY,1,4,13
37,transparent,TURKEY,GERMANY,0,2,13
37,transparent,ENGLAND,ITALY,1,1,9
37,transparent,FRANCE,ITALY,1,5,9
37,transparent,GERMANY,ITALY,1,13,9
37,transparent,ITALY,ITALY,1,9,9
37,transparent,RUSSIA,ITALY,0,4,9
37,transparent,TURKEY,ITALY,0,2,9
37,transparent,ENGLAND,RUSSIA,1,1,4
37,transparent,FRANCE,RUSSIA,1,5,4
37,transparent,GERMANY,RUSSIA,0,13,4
37,transparent,ITALY,RUSSIA,0,9,4
37,transparent,RUSSIA,RUSSIA,1,4,4
37,transparent,TURKEY,RUSSIA,0,2,4
37,transparent,ENGLAND,TURKEY,1,1,2
37,transparent,FRANCE,TURKEY,1,5,2
37,transparent,GERMANY,TURKEY,0,13,2
37,transparent,ITALY,TURKEY,0,9,2
37,transparent,RUSSIA,TURKEY,0,4,2
37,transparent,TURKEY,TURKEY,1,2,2
39,transparent,ENGLAND,ENGLAND,1,1,1
39,transparent,FRANCE,ENGLAND,0,5,1
39,transparent,GERMANY,ENGLAND,0,13,1
39,transparent,ITALY,ENGLAND,1,9,1
39,transparent,RUSSIA,ENGLAND,1,4,1
39,transparent,TURKEY,ENGLAND,1,2,1
39,transparent,ENGLAND,FRANCE,0,1,5
39,transparent,FRANCE,FRANCE,1,5,5
39,transparent,GERMANY,FRANCE,0,13,5
39,transparent,ITALY,FRANCE,1,9,5
39,transparent,RUSSIA,FRANCE,1,4,5
39,transparent,TURKEY,FRANCE,1,2,5
