step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
21,transparent,ENGLAND,TURKEY,1,4,3
21,transparent,GERMANY,TURKEY,1,7,3
21,transparent,ITALY,TURKEY,0,9,3
21,transparent,RUSSIA,TURKEY,0,7,3
21,transparent,TURKEY,TURKEY,1,3,3
23,transparent,AUSTRIA,AUSTRIA,1,1,1
23,transparent,ENGLAND,AUSTRIA,1,4,1
23,transparent,GERMANY,AUSTRIA,1,7,1
23,transparent,ITALY,AUSTRIA,0,9,1
23,transparent,RUSSIA,AUSTRIA,0,7,1
23,transparent,TURKEY,AUSTRIA,0,3,1
23,transparent,AUSTRIA,ENGLAND,1,1,4
23,transparent,ENGLAND,ENGLAND,1,4,4
23,transparent,GERMANY,ENGLAND,1,7,4
23,transparent,ITALY,ENGLAND,1,9,4
23,transparent,RUSSIA,ENGLAND,1,7,4
23,transparent,TURKEY,ENGLAND,1,3,4
23,transparent,AUSTRIA,FRANCE,1,1,3
23,transparent,ENGLAND,FRANCE,0,4,3
23,RL,FRANCE,FRANCE,1,3,3
23,transparent,GERMANY,FRANCE,0,7,3
23,transparent,ITALY,FRANCE,1,9,3
23,transparent,RUSSIA,FRANCE,1,7,3
23,transparent,TURKEY,FRANCE,1,3,3
23,transparent,AUSTRIA,GERMANY,1,1,7
23,transparent,ENGLAND,GERMANY,0,4,7
23,transparent,GERMANY,GERMANY,1,7,7
23,transparent,ITALY,GERMANY,1,9,7
23,transparent,RUSSIA,GERMANY,1,7,7
23,transparent,TURKEY,GERMANY,1,3,7
23,transparent,AUSTRIA,ITALY,0,1,9
23,transparent,ENGLAND,ITALY,1,4,9
23,transparent,GERMANY,ITALY,1,7,9
23,transparent,ITALY,ITALY,1,9,9
23,transparent,RUSSIA,ITALY,0,7,9
23,transparent,TURKEY,ITALY,0,3,9
23,transparent,AUSTRIA,RUSSIA,0,1,7
23,transparent,ENGLAND,RUSSIA,1,4,7
23,transparent,GERMANY,RUSSIA,0,7,7
23,transparent,ITALY,RUSSIA,0,9,7
23,transparent,RUSSIA,RUSSIA,1,7,7
23,transparent,TURKEY,RUSSIA,0,3,7
23,transparent,AUSTRIA,TURKEY,1,1,3
23,transparent,ENGLAND,TURKEY,1,4,3
23,transparent,GERMANY,TURKEY,1,7,3
23,transparent,ITALY,TURKEY,0,9,3
23,transparent,RUSSIA,TURKEY,0,7,3
23,transparent,TURKEY,TURKEY,1,3,3
26,transparent,AUSTRIA,AUSTRIA,1,1,1
26,transparent,ENGLAND,AUSTRIA,1,5,1
26,transparent,GERMANY,AUSTRIA,1,7,1
26,transparent,ITALY,AUSTRIA,0,10,1
26,transparent,RUSSIA,AUSTRIA,0,9,1
26,transparent,TURKEY,AUSTRIA,0,2,1
26,transparent,AUSTRIA,ENGLAND,1,1,5
26,transparent,ENGLAND,ENGLAND,1,5,5
